mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__degree,param_classifier__kernel,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.019023537635803223,0.00024950504302978516,0.004025459289550781,2.47955322265625e-05,0.6,1,poly,"{'classifier__C': 0.6, 'classifier__degree': 1, 'classifier__kernel': 'poly'}",0.7949438202247191,0.7640449438202247,0.7794943820224719,0.015449438202247201,1
0.022231221199035645,0.0010491609573364258,0.0053032636642456055,0.00017011165618896484,0.5,1,poly,"{'classifier__C': 0.5, 'classifier__degree': 1, 'classifier__kernel': 'poly'}",0.7949438202247191,0.7640449438202247,0.7794943820224719,0.015449438202247201,1
0.020012497901916504,0.0001264810562133789,0.004042148590087891,4.76837158203125e-07,1.0,1,poly,"{'classifier__C': 1.0, 'classifier__degree': 1, 'classifier__kernel': 'poly'}",0.7949438202247191,0.7640449438202247,0.7794943820224719,0.015449438202247201,1
0.017490744590759277,0.0004936456680297852,0.005007266998291016,0.0009946823120117188,0.9,1,poly,"{'classifier__C': 0.9, 'classifier__degree': 1, 'classifier__kernel': 'poly'}",0.7949438202247191,0.7640449438202247,0.7794943820224719,0.015449438202247201,1
0.01998770236968994,0.0014182329177856445,0.00502169132232666,3.230571746826172e-05,0.8,1,poly,"{'classifier__C': 0.8, 'classifier__degree': 1, 'classifier__kernel': 'poly'}",0.7949438202247191,0.7640449438202247,0.7794943820224719,0.015449438202247201,1
0.018492817878723145,0.0004938840866088867,0.0045032501220703125,0.00048422813415527344,0.7000000000000001,1,poly,"{'classifier__C': 0.7000000000000001, 'classifier__degree': 1, 'classifier__kernel': 'poly'}",0.7949438202247191,0.7640449438202247,0.7794943820224719,0.015449438202247201,1
0.021598219871520996,0.0006805658340454102,0.005556821823120117,0.0010654926300048828,0.30000000000000004,1,poly,"{'classifier__C': 0.30000000000000004, 'classifier__degree': 1, 'classifier__kernel': 'poly'}",0.7949438202247191,0.7612359550561798,0.7780898876404494,0.01685393258426965,7
0.022070884704589844,0.0012922286987304688,0.0042122602462768555,0.00017440319061279297,0.4,1,poly,"{'classifier__C': 0.4, 'classifier__degree': 1, 'classifier__kernel': 'poly'}",0.7949438202247191,0.7612359550561798,0.7780898876404494,0.01685393258426965,7
0.027235984802246094,0.00023055076599121094,0.007001757621765137,0.0009993314743041992,0.2,1,poly,"{'classifier__C': 0.2, 'classifier__degree': 1, 'classifier__kernel': 'poly'}",0.7949438202247191,0.7584269662921348,0.776685393258427,0.01825842696629215,9
0.02073848247528076,0.0017162561416625977,0.004497051239013672,0.00049591064453125,1.0,2,poly,"{'classifier__C': 1.0, 'classifier__degree': 2, 'classifier__kernel': 'poly'}",0.7949438202247191,0.75,0.7724719101123596,0.02247191011235955,10
0.02200496196746826,0.0009998083114624023,0.0045081377029418945,0.0005065202713012695,0.9,2,poly,"{'classifier__C': 0.9, 'classifier__degree': 2, 'classifier__kernel': 'poly'}",0.7837078651685393,0.7471910112359551,0.7654494382022472,0.018258426966292096,11
0.025461673736572266,0.00031757354736328125,0.005317211151123047,0.0002307891845703125,0.1,1,poly,"{'classifier__C': 0.1, 'classifier__degree': 1, 'classifier__kernel': 'poly'}",0.7696629213483146,0.7612359550561798,0.7654494382022472,0.004213483146067398,11
0.020963311195373535,0.0028306245803833008,0.005621433258056641,0.0025115013122558594,0.8,2,poly,"{'classifier__C': 0.8, 'classifier__degree': 2, 'classifier__kernel': 'poly'}",0.7808988764044944,0.7471910112359551,0.7640449438202248,0.01685393258426965,13
0.019510984420776367,0.0014948844909667969,0.004000544548034668,1.7881393432617188e-06,0.7000000000000001,2,poly,"{'classifier__C': 0.7000000000000001, 'classifier__degree': 2, 'classifier__kernel': 'poly'}",0.7752808988764045,0.7387640449438202,0.7570224719101124,0.01825842696629215,14
0.020512819290161133,0.0008778572082519531,0.005002140998840332,0.0010010004043579102,0.30000000000000004,2,poly,"{'classifier__C': 0.30000000000000004, 'classifier__degree': 2, 'classifier__kernel': 'poly'}",0.7724719101123596,0.7359550561797753,0.7542134831460674,0.01825842696629215,15
0.021010637283325195,0.0009944438934326172,0.003994941711425781,5.7220458984375e-06,0.6,2,poly,"{'classifier__C': 0.6, 'classifier__degree': 2, 'classifier__kernel': 'poly'}",0.7696629213483146,0.7387640449438202,0.7542134831460674,0.015449438202247201,15
0.025769829750061035,0.00023686885833740234,0.0050019025802612305,0.001000523567199707,0.4,2,poly,"{'classifier__C': 0.4, 'classifier__degree': 2, 'classifier__kernel': 'poly'}",0.7724719101123596,0.7303370786516854,0.7514044943820225,0.021067415730337102,17
0.021910786628723145,0.0015391111373901367,0.0046844482421875,0.00031757354736328125,0.5,2,poly,"{'classifier__C': 0.5, 'classifier__degree': 2, 'classifier__kernel': 'poly'}",0.7668539325842697,0.7331460674157303,0.75,0.016853932584269704,18
0.02814626693725586,0.0011396408081054688,0.0061037540435791016,0.00010275840759277344,0.1,2,poly,"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__kernel': 'poly'}",0.7584269662921348,0.7359550561797753,0.747191011235955,0.011235955056179747,19
0.022329330444335938,0.003142118453979492,0.004562258720397949,0.0004981756210327148,0.2,2,poly,"{'classifier__C': 0.2, 'classifier__degree': 2, 'classifier__kernel': 'poly'}",0.7640449438202247,0.7247191011235955,0.7443820224719101,0.0196629213483146,20
0.022635459899902344,0.0012843608856201172,0.004480600357055664,0.0006031990051269531,1.0,3,poly,"{'classifier__C': 1.0, 'classifier__degree': 3, 'classifier__kernel': 'poly'}",0.6966292134831461,0.7359550561797753,0.7162921348314607,0.0196629213483146,21
0.021798014640808105,0.0017794370651245117,0.005002856254577637,0.0009971857070922852,0.7000000000000001,3,poly,"{'classifier__C': 0.7000000000000001, 'classifier__degree': 3, 'classifier__kernel': 'poly'}",0.6910112359550562,0.7415730337078652,0.7162921348314607,0.0252808988764045,21
0.023499488830566406,0.0034952163696289062,0.004006743431091309,5.841255187988281e-06,0.6,3,poly,"{'classifier__C': 0.6, 'classifier__degree': 3, 'classifier__kernel': 'poly'}",0.6882022471910112,0.7443820224719101,0.7162921348314606,0.02808988764044945,23
0.02346181869506836,0.0011172294616699219,0.00427854061126709,0.0002783536911010742,0.9,3,poly,"{'classifier__C': 0.9, 'classifier__degree': 3, 'classifier__kernel': 'poly'}",0.6910112359550562,0.7387640449438202,0.7148876404494382,0.023876404494381998,24
0.023438096046447754,0.0030058622360229492,0.004526376724243164,0.0005047321319580078,0.4,3,poly,"{'classifier__C': 0.4, 'classifier__degree': 3, 'classifier__kernel': 'poly'}",0.6853932584269663,0.7443820224719101,0.7148876404494382,0.0294943820224719,24
0.021241307258605957,0.001864790916442871,0.004765033721923828,0.00023746490478515625,0.5,3,poly,"{'classifier__C': 0.5, 'classifier__degree': 3, 'classifier__kernel': 'poly'}",0.6853932584269663,0.7443820224719101,0.7148876404494382,0.0294943820224719,24
0.023219823837280273,0.0011065006256103516,0.003779888153076172,0.0007724761962890625,0.8,3,poly,"{'classifier__C': 0.8, 'classifier__degree': 3, 'classifier__kernel': 'poly'}",0.6910112359550562,0.7359550561797753,0.7134831460674158,0.02247191011235955,27
0.02131485939025879,0.0017371177673339844,0.004206418991088867,0.00018835067749023438,0.30000000000000004,3,poly,"{'classifier__C': 0.30000000000000004, 'classifier__degree': 3, 'classifier__kernel': 'poly'}",0.6853932584269663,0.7247191011235955,0.7050561797752809,0.0196629213483146,28
0.020781517028808594,0.0014066696166992188,0.004557371139526367,0.0005426406860351562,0.2,3,poly,"{'classifier__C': 0.2, 'classifier__degree': 3, 'classifier__kernel': 'poly'}",0.6825842696629213,0.702247191011236,0.6924157303370786,0.009831460674157355,29
0.030006885528564453,0.0009999275207519531,0.006501674652099609,0.0005002021789550781,0.1,3,poly,"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__kernel': 'poly'}",0.6741573033707865,0.6629213483146067,0.6685393258426966,0.005617977528089901,30
